Upload	Ul_time	Ul_SINR(db)	Ul_tbSize	Download	Dl_Time	DL_SINR(db)	DL_tbsize
UL	0,7708	38,3451	2126	DL	0,7528	38,5087	2126
UL	0,7808	38,6471	2126	DL	0,7628	38,4726	2126
UL	0,7808	39,845	2126	DL	0,7628	38,381	2126
UL	0,7908	39,0086	2126	DL	0,7728	39,1599	2126
UL	0,7908	38,8803	2126	DL	0,7728	39,4367	2126
UL	0,8008	38,6972	2126	DL	0,7828	39,1945	2126
UL	0,8008	38,1665	2126	DL	0,7828	39,0787	2126
UL	0,8108	38,2954	2126	DL	0,7928	38,513	2126
UL	0,8108	38,3083	2126	DL	0,7928	38,3396	2126
UL	0,8208	38,6114	2126	DL	0,8028	38,0476	2126
UL	0,8208	38,7587	2126	DL	0,8028	38,5483	2126
UL	0,8308	38,7039	2126	DL	0,8128	38,6018	2126
UL	0,8308	38,9202	2126	DL	0,8128	38,6555	2126
UL	0,8408	39,123	2126	DL	0,8228	38,6415	2126
UL	0,8408	39,2867	2126	DL	0,8228	39,1326	2126
UL	0,8508	39,662	2126	DL	0,8328	39,2619	2126
UL	0,8508	39,871	2126	DL	0,8328	39,7082	2126
UL	0,8608	39,4815	2126	DL	0,8428	39,9212	2126
UL	0,8608	40,0146	2126	DL	0,8428	39,8884	2126
UL	0,8708	39,877	2126	DL	0,8528	39,408	2126
UL	0,8708	39,4343	2126	DL	0,8528	40,0564	2126
UL	0,8808	39,9135	2126	DL	0,8628	39,5591	2126
UL	0,8808	39,1483	2126	DL	0,8628	39,2962	2126
UL	0,8908	38,9705	2126	DL	0,8728	39,8074	2126
UL	0,8908	38,4486	2126	DL	0,8728	39,5833	2126
UL	0,9008	39,3294	2126	DL	0,8828	38,9664	2126
UL	0,9008	39,3933	2126	DL	0,8828	38,7482	2126
UL	0,9108	39,3309	2126	DL	0,8928	39,3579	2126
UL	0,9108	39,6019	2126	DL	0,8928	39,0825	2126
UL	0,9208	39,8259	2126	DL	0,9028	39,5182	2126
UL	0,9208	39,5656	2126	DL	0,9028	39,6454	2126
UL	0,9308	39,3097	2126	DL	0,9128	39,5258	2126
UL	0,9308	39,2978	2126	DL	0,9128	39,6137	2126
UL	0,9408	39,7033	2126	DL	0,9228	39,4542	2126
UL	0,9408	39,9889	2126	DL	0,9228	39,1803	2126
UL	0,9508	40,112	2126	DL	0,9328	39,5934	2126
UL	0,9508	40,7801	2126	DL	0,9328	40,0577	2126
UL	0,9608	41,1646	2126	DL	0,9428	40,3125	2126
UL	0,9608	40,9337	2126	DL	0,9428	40,7224	2126
UL	0,9708	40,9953	2126	DL	0,9528	41,0138	2126
UL	0,9708	40,8516	2126	DL	0,9528	40,9935	2126
UL	0,9808	41,4085	2126	DL	0,9628	41,1672	2126
UL	0,9808	40,8803	2126	DL	0,9628	40,6601	2126
UL	0,9908	40,5936	2126	DL	0,9728	41,1417	2126
UL	0,9908	40,3411	2126	DL	0,9728	40,8558	2126
UL	1,0008	40,3542	2126	DL	0,9828	40,603	2126
UL	1,0008	40,4176	2126	DL	0,9828	40,3792	2126
UL	1,0108	40,4429	2126	DL	0,9928	40,5644	2126
UL	1,0108	40,1865	2126	DL	0,9928	40,5915	2126
UL	1,0208	40,5598	2126	DL	1,0028	40,505	2126
UL	1,0208	40,4294	2126	DL	1,0028	40,4144	2126
UL	1,0308	40,1531	2126	DL	1,0128	40,665	2126
UL	1,0308	40,2436	2126	DL	1,0128	40,4117	2126
UL	1,0408	40,1024	2126	DL	1,0228	40,1334	2126
UL	1,0408	39,9126	2126	DL	1,0228	40,1463	2126
UL	1,0508	40,566	2126	DL	1,0328	39,9502	2126
UL	1,0508	40,9473	2126	DL	1,0328	40,2406	2126
UL	1,0608	40,5858	2126	DL	1,0428	40,8134	2126
UL	1,0608	39,9597	2126	DL	1,0428	40,8191	2126
UL	1,0708	39,7654	2126	DL	1,0528	40,6008	2126
UL	1,0708	40,2647	2126	DL	1,0528	39,9845	2126
UL	1,0808	40,3766	2126	DL	1,0628	39,8347	2126
UL	1,0808	40,9626	2126	DL	1,0628	40,2061	2126
UL	1,0908	41,7129	2126	DL	1,0728	40,0084	2126
UL	1,0908	41,8828	2126	DL	1,0728	41,3296	2126
UL	1,1008	43,0044	2126	DL	1,0828	41,581	2126
UL	1,1008	42,6779	2126	DL	1,0828	42,0203	2126
UL	1,1108	42,4332	2126	DL	1,0928	42,635	2126
UL	1,1108	42,0762	2126	DL	1,0928	42,7761	2126
UL	1,1208	41,7526	2126	DL	1,1028	42,361	2126
UL	1,1208	41,63	2126	DL	1,1028	41,9987	2126
UL	1,1308	41,7011	2126	DL	1,1128	41,7978	2126
UL	1,1308	41,6213	2126	DL	1,1128	41,613	2126
UL	1,1408	41,2087	2126	DL	1,1228	41,8474	2126
UL	1,1408	41,0215	2126	DL	1,1228	41,5809	2126
UL	1,1508	41,3722	2126	DL	1,1328	41,0576	2126
UL	1,1508	41,0174	2126	DL	1,1328	41,1346	2126
UL	1,1608	41,0861	2126	DL	1,1428	40,9974	2126
UL	1,1608	41,2987	2126	DL	1,1428	41,1939	2126
UL	1,1708	40,8006	2126	DL	1,1528	41,112	2126
UL	1,1708	40,7931	2126	DL	1,1528	41,5394	2126
UL	1,1808	41,4739	2126	DL	1,1628	40,7901	2126
UL	1,1808	41,8639	2126	DL	1,1628	40,9319	2126
UL	1,1908	41,9219	2126	DL	1,1728	41,5603	2126
UL	1,1908	41,5006	2126	DL	1,1728	41,8875	2126
UL	1,2008	41,9394	2126	DL	1,1828	41,6937	2126
UL	1,2008	42,5566	2126	DL	1,1828	41,7121	2126
UL	1,2108	41,9147	2126	DL	1,1928	41,8786	2126
UL	1,2108	42,2489	2126	DL	1,1928	42,7019	2126
UL	1,2208	42,5441	2126	DL	1,2028	41,6512	2126
UL	1,2208	42,9851	2126	DL	1,2028	42,542	2126
UL	1,2308	42,4931	2126	DL	1,2128	42,43	2126
UL	1,2308	42,1742	2126	DL	1,2128	43,1738	2126
UL	1,2408	42,1158	2126	DL	1,2228	42,2209	2126
UL	1,2408	42,2913	2126	DL	1,2228	42,037	2126
UL	1,2508	41,2524	2126	DL	1,2328	42,0146	2126
UL	1,2508	41,117	2126	DL	1,2328	42,1252	2126
UL	1,2608	41,4886	2126	DL	1,2428	41,2277	2126
UL	1,2608	41,3903	2126	DL	1,2428	41,134	2126
UL	1,2708	41,9189	2126	DL	1,2528	41,4767	2126
UL	1,2708	41,2247	2126	DL	1,2528	41,8576	2126
UL	1,2808	41,132	2126	DL	1,2628	41,9976	2126
UL	1,2808	41,9141	2126	DL	1,2628	41,2523	2126
UL	1,2908	42,729	2126	DL	1,2728	41,0131	2126
UL	1,2908	42,2348	2126	DL	1,2728	42,4871	2126
UL	1,3008	42,3417	2126	DL	1,2828	42,6355	2126
UL	1,3008	42,4894	2126	DL	1,2828	42,1838	2126
UL	1,3108	42,8587	2126	DL	1,2928	42,4254	2126
UL	1,3108	43,2641	2126	DL	1,2928	42,4655	2126
UL	1,3208	42,9651	2126	DL	1,3028	42,7278	2126
UL	1,3208	42,8605	2126	DL	1,3028	43,0974	2126
UL	1,3308	42,8372	2126	DL	1,3128	42,8226	2126
UL	1,3308	43,5441	2126	DL	1,3128	43,0941	2126
UL	1,3408	42,6896	2126	DL	1,3228	43,0368	2126
UL	1,3408	41,7915	2126	DL	1,3228	43,5045	2126
UL	1,3508	41,3763	2126	DL	1,3328	42,6592	2126
UL	1,3508	41,5217	2126	DL	1,3328	41,5975	2126
UL	1,3608	41,0136	2126	DL	1,3428	41,4788	2126
UL	1,3608	41,6159	2126	DL	1,3428	41,3899	2126
UL	1,3708	40,8244	2126	DL	1,3528	41,2791	2126
UL	1,3708	40,7394	2126	DL	1,3528	41,5011	2126
