DL/UL	time	tbSize	SINR(dB)
DL	191.279	2126	355.774
DL	1.9128	2126	407.669
DL	192.279	2126	363.196
DL	1.9228	2126	40.225
DL	193.279	2126	363.025
DL	1.9328	2126	404.176
DL	194.279	2126	366.253
DL	1.9428	2126	401.405
DL	195.279	2126	371.347
DL	1.9528	2126	40.194
DL	196.279	2126	375.018
DL	1.9628	2126	39.791
DL	197.279	2126	371.042
DL	1.9728	2126	397.766
DL	198.279	2126	383.189
DL	1.9828	2126	401.226
DL	199.279	2126	381.223
DL	1.9928	2126	397.589
DL	200.279	2126	382.194
DL	2.2028	2126	395.414
DL	201.279	2126	389.331
DL	2.0128	2126	396.061
DL	202.279	2126	386.686
DL	2.0228	2126	395.494
DL	203.279	2126	383.385
DL	2.0328	2126	388.284
DL	204.279	2126	379.197
DL	2.0428	2126	387.607
DL	205.279	2126	381.306
DL	2.0528	2126	389.247
DL	206.279	2126	385.429
DL	2.0628	2126	391.664
DL	207.279	2126	388.104
DL	2.0728	2126	394.252
DL	208.279	2126	384.668
DL	2.0828	2126	398.837
DL	209.279	2126	38.653
DL	2.0928	2126	397.774
DL	210.279	2126	378.398
DL	2.1028	2126	391.384
DL	211.279	2126	379.665
DL	2.1128	2126	399.827
DL	212.279	2126	370.409
DL	2.1228	2126	395.872
DL	213.279	2126	379.817
DL	2.1328	2126	395.474
DL	214.279	2126	386.088
DL	2.1428	2126	396.351
DL	215.279	2126	386.564
DL	2.1528	2126	396.431
DL	216.279	2126	394.259
DL	2.1628	2126	39.731
DL	217.279	2126	390.946
DL	2.1728	2126	391.475
DL	218.279	2126	388.938
DL	2.1828	2126	391.682
DL	219.279	2126	386.916
DL	2.1928	2126	401.381
DL	220.279	2126	391.331
DL	2.2028	2126	403.679
DL	221.279	2126	393.568
DL	2.2128	2126	408.257
DL	222.279	2126	395.896
DL	2.2228	2126	398.269
DL	223.279	2126	401.329
DL	2.2328	2126	399.658
DL	224.279	2126	406.578
DL	2.2428	2126	392.257
DL	225.279	2126	402.682
DL	2.2528	2126	391.888
DL	226.279	2126	409.337
DL	2.2628	2126	389.269
DL	227.279	2126	406.704
DL	2.2728	2126	38.887
DL	228.279	2126	405.681
DL	2.2828	2126	385.936
DL	229.279	2126	402.176
DL	2.2928	2126	385.174
DL	230.279	2126	400.823
DL	2.3028	2126	384.189
DL	231.279	2126	397.721
DL	2.3128	2126	384.283
DL	232.279	2126	394.866
DL	2.3228	2126	381.697
DL	233.279	2126	393.392
DL	2.3328	2126	386.733
DL	234.279	2126	388.386
DL	2.3428	2126	382.663
DL	235.279	2126	392.071
DL	2.3528	2126	383.014
DL	236.279	2126	397.456
DL	2.3628	2126	374.923
DL	237.279	2126	407.007
DL	2.3728	2126	378.646
DL	238.279	2126	400.058
DL	2.3828	2126	377.405
DL	239.279	2126	397.115
DL	2.3928	2126	378.172
