DL/UL	time	tbSize	SINR(dB)
UL	870.804	2126	399.799
DL	872.786	2126	317.267
DL	872.804	2126	397.369
UL	880.786	2126	325.628
UL	880.804	2126	396.539
DL	882.786	2126	326.894
DL	882.804	2126	39.872
UL	890.786	2126	323.745
UL	890.804	2126	392.654
DL	892.786	2126	318.246
DL	892.804	2126	396.396
UL	900.786	2126	308.385
UL	900.804	2126	391.645
DL	902.786	2126	308.231
DL	902.804	2126	391.835
UL	910.786	2126	30.713
UL	910.804	2126	389.935
DL	912.786	2126	309.971
DL	912.804	2126	390.386
UL	920.786	2126	306.195
UL	920.804	2126	39.232
DL	922.786	2126	307.549
DL	922.804	2126	396.606
UL	930.786	2126	29.758
UL	930.804	2126	398.515
DL	932.786	2126	298.026
DL	932.804	2126	398.207
UL	940.786	2126	295.896
UL	940.804	2126	400.951
DL	942.786	2126	296.753
DL	942.804	2126	400.496
UL	950.786	2126	292.696
UL	950.804	2126	39.939
DL	952.786	2126	290.413
DL	952.804	2126	397.614
UL	960.786	2126	295.658
UL	960.804	2126	398.961
DL	962.786	2126	294.373
DL	962.804	2126	399.146
UL	970.786	2126	297.106
UL	970.804	2126	39.989
DL	972.786	2126	299.164
DL	972.804	2126	397.937
UL	980.786	2126	294.543
UL	980.804	2126	396.665
DL	982.786	2126	293.915
DL	982.804	2126	396.218
UL	990.786	2126	299.506
UL	990.804	2126	399.457
DL	992.786	2126	300.726
DL	992.804	2126	39.948
UL	100.079	2126	30.429
UL	1.2008	2126	404.055
DL	100.279	2126	302.336
DL	1.2028	2126	40.373
UL	101.079	2126	307.878
UL	1.0108	2126	403.145
DL	101.279	2126	308.249
DL	1.0128	2126	402.703
UL	102.079	2126	309.058
UL	1.0208	2126	404.979
DL	102.279	2126	310.563
DL	1.0228	2126	406.459
UL	103.079	2126	311.226
UL	1.0308	2126	400.814
DL	103.279	2126	314.703
DL	1.0328	2126	399.518
UL	104.079	2126	30.691
UL	1.0408	2126	40.524
DL	104.279	2126	305.131
DL	1.0428	2126	405.381
UL	105.079	2126	303.105
UL	1.0508	2126	403.599
DL	105.279	2126	301.912
DL	1.0528	2126	404.349
UL	106.079	2126	30.208
UL	1.0608	2126	401.601
DL	106.279	2126	303.418
DL	1.0628	2126	40.631
UL	107.079	2126	298.564
UL	1.0708	2126	406.277
DL	107.279	2126	299.445
DL	1.0728	2126	406.096
UL	108.079	2126	300.211
UL	1.0808	2126	399.282
DL	108.279	2126	302.982
DL	1.0828	2126	400.238
UL	109.079	2126	299.921
UL	1.0908	2126	403.975
DL	109.279	2126	299.068
DL	1.0928	2126	402.869
UL	110.079	2126	295.425
UL	1.1008	2126	402.978
DL	110.279	2126	295.172
DL	1.1028	2126	403.276
UL	111.079	2126	291.925
UL	1.1108	2126	395.974
DL	111.279	2126	293.326
DL	1.1128	2126	394.957
UL	112.079	2126	289.433
UL	1.1208	2126	395.529
DL	112.279	2126	287.567
DL	1.1228	2126	397.163
UL	113.079	2126	289.985
UL	1.1308	2126	395.796
DL	113.279	2126	290.189
DL	1.1328	2126	393.424
UL	114.079	2126	287.486
UL	1.1408	2126	38.904
DL	114.279	2126	28.827
DL	1.1428	2126	39.09
UL	115.079	2126	294.604
UL	1.1508	2126	386.132
DL	115.279	2126	293.705
DL	1.1528	2126	383.378
UL	116.079	2126	293.103
UL	1.1608	2126	382.665
DL	116.279	2126	289.439
DL	1.1628	2126	384.105
UL	117.079	2126	288.567
UL	1.1708	2126	382.829
DL	117.279	2126	290.083
DL	1.1728	2126	382.619
UL	118.079	2126	290.985
UL	1.1808	2126	380.134
DL	118.279	2126	291.712
DL	1.1828	2126	380.623
UL	119.079	2126	292.467
UL	1.1908	2126	382.382
DL	119.279	2126	290.564
DL	1.1928	2126	379.619
UL	120.079	2126	289.845
UL	1.2008	2126	379.126
DL	120.279	2126	289.857
DL	1.2028	2126	380.628
UL	121.079	2126	296.342
UL	1.2108	2126	377.265
DL	121.279	2126	298.368
DL	1.2128	2126	377.917
UL	122.079	2126	29.883
UL	1.2208	2126	37.741
DL	122.279	2126	300.002
DL	1.2228	2126	377.204
UL	123.079	2126	297.483
UL	1.2308	2126	380.599
DL	123.279	2126	297.525
DL	1.2328	2126	376.957
UL	124.079	2126	298.789
UL	1.2408	2126	376.817
DL	124.279	2126	299.882
DL	1.2428	2126	38.064
UL	125.079	2126	298.457
UL	1.2508	2126	388.189
DL	125.279	2126	294.013
DL	1.2528	2126	389.165
UL	126.079	2126	294.812
UL	1.2608	2126	393.305
DL	126.279	2126	293.741
DL	1.2628	2126	391.841
UL	127.079	2126	294.313
UL	1.2708	2126	390.573
DL	127.279	2126	294.091
DL	1.2728	2126	393.706
UL	128.079	2126	287.271
UL	1.2808	2126	389.635
DL	128.279	2126	285.844
DL	1.2828	2126	387.278
UL	129.079	2126	284.697
UL	1.2908	2126	382.096
DL	129.279	2126	289.017
DL	1.2928	2126	381.621
UL	130.079	2126	290.796
UL	1.3008	2126	374.296
DL	130.279	2126	291.365
DL	1.3028	2126	37.347
UL	131.079	2126	295.458
UL	1.3108	2126	374.032
DL	131.279	2126	296.089
DL	1.3128	2126	375.636
UL	132.079	2126	300.571
UL	1.3208	2126	375.326
DL	132.279	2126	30.23
DL	1.3228	2126	37.789
UL	133.079	2126	303.111
UL	1.3308	2126	378.046
DL	133.279	2126	302.258
DL	1.3328	2126	375.561
UL	134.079	2126	305.681
UL	1.3408	2126	375.946
DL	134.279	2126	308.039
DL	1.3428	2126	374.949
UL	135.079	2126	301.583
UL	1.3508	2126	382.093
DL	135.279	2126	30.541
DL	1.3528	2126	385.235
UL	136.079	2126	307.911
UL	1.3608	2126	382.866
DL	136.279	2126	306.502
DL	1.3628	2126	382.678
UL	137.079	2126	307.897
UL	1.3708	2126	379.924
DL	137.279	2126	306.757
DL	1.3728	2126	38.02
UL	138.079	2126	306.783
UL	1.3808	2126	372.595
DL	138.279	2126	309.559
DL	1.3828	2126	370.875
UL	139.079	2126	301.038
UL	1.3908	2126	374.587
DL	139.279	2126	299.707
DL	1.3928	2126	377.541
UL	140.079	2126	298.879
UL	1.4008	2126	379.821
DL	140.279	2126	29.806
DL	1.4028	2126	382.453
UL	141.079	2126	298.504
UL	1.4108	2126	389.085
DL	141.279	2126	299.241
DL	1.4128	2126	392.138
UL	142.079	2126	300.869
UL	1.4208	2126	394.163
DL	142.279	2126	301.751
DL	1.4228	2126	394.066
UL	143.079	2126	313.845
UL	1.4308	2126	395.124
DL	143.279	2126	310.598
DL	1.4328	2126	394.504
UL	144.079	2126	310.591
UL	1.4408	2126	386.231
DL	144.279	2126	31.043
DL	1.4428	2126	385.388
UL	145.079	2126	315.141
UL	1.4508	2126	384.759
DL	145.279	2126	314.795
DL	1.4528	2126	384.832
UL	146.079	2126	312.571
UL	1.4608	2126	389.645
DL	146.279	2126	312.776
DL	1.4628	2126	387.732
UL	147.079	2126	316.545
UL	1.4708	2126	386.411
DL	147.279	2126	318.398
DL	1.4728	2126	386.669
UL	148.079	2126	320.624
UL	1.4808	2126	38.168
DL	148.279	2126	320.822
DL	1.4828	2126	380.098
UL	149.079	2126	318.361
