DL/UL	time	tbSize	SINR(dB)
UL	246.079	2126	401902
UL	2.4608	2126	389232
UL	247.079	2126	39554
UL	2.4708	2126	386695
UL	248.079	2126	395659
UL	2.4808	2126	394058
UL	249.079	2126	398562
UL	2.4908	2126	385737
UL	250.079	2126	392884
UL	2.5008	2126	384548
UL	251.079	2126	390406
UL	2.5108	2126	383451
UL	252.079	2126	384546
UL	2.5208	2126	386471
UL	253.079	2126	389466
UL	2.5308	2126	39845
UL	254.079	2126	391422
UL	2.5408	2126	390086
UL	255.079	2126	392485
UL	2.5508	2126	388803
UL	256.079	2126	390457
UL	2.5608	2126	386972
UL	257.079	2126	390638
UL	2.5708	2126	381665
UL	258.079	2126	401077
UL	2.5808	2126	382954
UL	259.079	2126	395245
UL	2.5908	2126	383083
UL	260.079	2126	393492
UL	2.6008	2126	386114
UL	261.079	2126	398528
UL	2.6108	2126	387587
UL	262.079	2126	404459
UL	2.6208	2126	387039
UL	263.079	2126	408706
UL	2.6308	2126	389202
UL	264.079	2126	408547
UL	2.6408	2126	39123
UL	265.079	2126	40705
UL	2.6508	2126	392867
UL	266.079	2126	411607
UL	2.6608	2126	39662
UL	267.079	2126	416019
UL	2.6708	2126	39871
UL	268.079	2126	415181
UL	2.6808	2126	394815
UL	269.079	2126	413791
UL	2.6908	2126	400146
UL	270.079	2126	41093
UL	2.7008	2126	39877
UL	271.079	2126	41421
UL	2.7108	2126	394343
UL	272.079	2126	420719
UL	2.7208	2126	399135
UL	273.079	2126	424118
UL	2.7308	2126	391483
UL	274.079	2126	431125
UL	2.7408	2126	389705
UL	275.079	2126	436466
UL	2.7508	2126	384486
UL	276.079	2126	436567
UL	2.7608	2126	393294
UL	277.079	2126	429131
UL	2.7708	2126	393933
UL	278.079	2126	423176
UL	2.7808	2126	393309
UL	279.079	2126	424319
UL	2.7908	2126	396019
UL	280.079	2126	426586
UL	2.8008	2126	398259
UL	281.079	2126	426624
UL	2.8108	2126	395656
UL	282.079	2126	42.56
UL	2.8208	2126	393097
UL	283.079	2126	42876
UL	2.8308	2126	392978
UL	284.079	2126	427101
UL	2.8408	2126	397033
UL	285.079	2126	425389
UL	2.8508	2126	399889
UL	286.079	2126	427206
UL	2.8608	2126	40112
UL	287.079	2126	426722
UL	2.8708	2126	407801
UL	288.079	2126	424825
UL	2.8808	2126	411646
UL	289.079	2126	425517
UL	2.8908	2126	409337
UL	290.079	2126	421695
UL	2.9008	2126	409953
UL	291.079	2126	421165
UL	2.9108	2126	408516
UL	292.079	2126	421112
UL	2.9208	2126	414085
UL	293.079	2126	427613
UL	2.9308	2126	408803
UL	294.079	2126	427154
UL	2.9408	2126	405936
UL	295.079	2126	422818
UL	2.9508	2126	403411
UL	296.079	2126	426744
UL	2.9608	2126	403542
UL	297.079	2126	423939
UL	2.9708	2126	404176
UL	298.079	2126	424769
UL	2.9808	2126	404429
UL	299.079	2126	419043
UL	2.9908	2126	401865
UL	300.079	2126	418017
UL	3.2008	2126	405598
UL	301.079	2126	418426
UL	3.0108	2126	404294
UL	302.079	2126	414987
UL	3.0208	2126	401531
UL	303.079	2126	422109
UL	3.0308	2126	402436
UL	304.079	2126	415726
UL	3.0408	2126	401024
UL	305.079	2126	421958
UL	3.0508	2126	399126
UL	306.079	2126	420015
UL	3.0608	2126	40566
UL	307.079	2126	418272
UL	3.0708	2126	409473
UL	308.079	2126	417227
UL	3.0808	2126	405858
UL	309.079	2126	413693
UL	3.0908	2126	399597
UL	310.079	2126	416797
UL	3.1008	2126	397654
UL	311.079	2126	411682
UL	3.1108	2126	402647
UL	312.079	2126	412192
UL	3.1208	2126	403766
UL	313.079	2126	412539
UL	3.1308	2126	409626
UL	314.079	2126	417964
UL	3.1408	2126	417129
UL	315.079	2126	422231
UL	3.1508	2126	418828
UL	316.079	2126	413939
UL	3.1608	2126	430044
UL	317.079	2126	416998
